place_id,place_name,lat,lng,num_of_rack,datetime_start,datetime_end
0102,Szilágyi Dezső tér,47.5034243929,19.0397143364,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0103,Clark Ádám tér,47.4975859462,19.040915966,15.0,2015-01-01 00:00:01,2015-05-22 15:35:03
0103,Clark Ádám tér,47.4975859462,19.040915966,16.0,2015-05-22 15:40:02,2015-05-31 23:55:03
0104,Döbrentei tér,47.4912792595,19.0451163054,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0105,Déli pályaudvar,47.4998583425,19.0254878998,28.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0201,Margit híd -  Buda,47.5150015146,19.0398055315,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0202,Horvát utca,47.5103745958,19.034371376,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0203,Bem József tér,47.5121971505,19.0382552147,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0204,Széna tér,47.50785625,19.0270650387,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0501,Szent István körút - Vígszínház,47.5118927918,19.0514194965,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0502,Szalay utca - Falk Miksa utca,47.5085845898,19.0482115746,14.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0503,Bajcsy-Zsilinszky út - Kálmán Imre utca,47.5069430934,19.0548527241,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0504,Vécsey utca,47.5054211304,19.0487104654,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0505,Podmaniczky tér,47.5032540687,19.0542519093,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0506,Szabadság tér,47.5028952991,19.0514302254,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0507,Akadémia,47.5007607501,19.0472406149,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0508,Erzsébet tér,47.499100888,19.0544986725,15.0,2015-01-01 00:00:01,2015-05-08 12:50:02
0508,Erzsébet tér,47.499100888,19.0544986725,17.0,2015-05-08 12:55:02,2015-05-31 23:55:03
0509,Apáczai Csere János utca,47.4974880896,19.0480130911,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0510,József nádor tér,47.4977309186,19.0502661467,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0511,Vigadó tér,47.495987599,19.0488177538,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0512,Vitkovics Mihály utca - Városház utca,47.4946682916,19.0561294556,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0513,Március 15. tér,47.4916526074,19.0529698133,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0514,Károlyi utca,47.4912973832,19.0582430363,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0515,Fővám tér,47.4871505067,19.057213068,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0516,Ferenciek tere,47.4925370328,19.0566176176,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0517,Városháza Park,47.4970676666,19.055120945,22.0,2015-01-01 00:00:01,2015-05-27 15:25:02
0517,Városháza Park,47.4970676666,19.055120945,29.0,2015-05-27 15:30:03,2015-05-31 23:55:03
0518,Deák tér,47.4978541448,19.0535491705,15.0,2015-01-01 00:00:01,2015-05-11 12:40:02
0518,Deák tér,47.4978541448,19.0535491705,18.0,2015-05-11 12:45:02,2015-05-31 23:55:03
0601,Teréz körút - Király utca ,47.5035693492,19.0655601025,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0602,Hősök tere,47.5142370322,19.0766644478,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
