time,tempm,hum,wspdm,wdird,wdire,pressurem,vism,windchillm,fog,rain,snow,hail,thunder
2015-01-01 00:00:00,-12.0,85,5.6,0,Variable,1037,5.0,-15.5,0,0,0,0,0
2015-01-01 00:30:00,-11.0,85,3.7,0,Variable,1036,4.0,-999,0,0,0,0,0
2015-01-01 01:00:00,-10.0,86,3.7,0,Variable,1036,4.0,-999,0,0,0,0,0
2015-01-01 01:30:00,-10.0,86,0.0,0,North,1036,5.0,-999,0,0,0,0,0
2015-01-01 02:00:00,-9.0,79,0.0,0,North,1036,4.0,-999,0,0,0,0,0
2015-01-01 02:30:00,-8.0,79,3.7,0,Variable,1036,4.0,-999,0,0,0,0,0
2015-01-01 03:00:00,-7.0,74,9.3,230,SW,1036,5.0,-11.4,0,0,0,0,0
2015-01-01 03:30:00,-7.0,74,11.1,250,WSW,1036,6.0,-12.0,0,0,0,0,0
2015-01-01 04:00:00,-7.0,74,11.1,240,WSW,1035,6.0,-12.0,0,0,0,0,0
2015-01-01 04:30:00,-7.0,74,11.1,220,SW,1035,8.0,-12.0,0,0,0,0,0
2015-01-01 05:00:00,-7.0,74,13.0,220,SW,1035,8.0,-12.5,0,0,0,0,0
2015-01-01 05:30:00,-6.0,68,11.1,210,SSW,1035,8.0,-10.8,0,0,0,0,0
2015-01-01 06:00:00,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0
2015-01-01 06:30:00,-6.0,74,9.3,210,SSW,1035,10.0,-10.2,0,0,0,0,0
2015-01-01 07:00:00,-6.0,74,7.4,220,SW,1035,10.0,-9.5,0,0,0,0,0
2015-01-01 07:30:00,-6.0,74,9.3,220,SW,1034,10.0,-10.2,0,0,0,0,0
2015-01-01 08:00:00,-6.0,74,7.4,220,SW,1035,10.0,-9.5,0,0,0,0,0
2015-01-01 08:30:00,-5.0,68,9.3,220,SW,1035,10.0,-9.0,0,0,0,0,0
2015-01-01 09:00:00,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0
2015-01-01 09:30:00,-5.0,68,11.1,220,SW,1035,10.0,-9.6,0,0,0,0,0
2015-01-01 10:00:00,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0
2015-01-01 10:30:00,-4.0,64,11.1,210,SSW,1035,10.0,-8.4,0,0,0,0,0
2015-01-01 11:00:00,-4.0,64,11.1,210,SSW,1035,10.0,-8.4,0,0,0,0,0
2015-01-01 11:30:00,-4.0,69,9.3,230,SW,1035,10.0,-7.8,0,0,0,0,0
2015-01-01 12:00:00,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0
2015-01-01 12:30:00,-3.0,64,9.3,250,WSW,1034,10.0,-6.7,0,0,0,0,0
